ID,Nombre,Buscar_en_Google,Rubro,Zona,Ciudad
118,HIPERMAXI SA – CALACOTO,"HIPERMAXI SA – CALACOTO, Oficina regional LP: c. Rosendo Gutiérrez N° 469, Sopocachi (suc. Calacoto), Calacoto, La Paz, Bolivia",Supermercado / Canal Mayorista,Calacoto,La Paz
119,HIPERMAXI SATÉLITE – EL ALTO,"HIPERMAXI SATÉLITE – EL ALTO, Ciudad Satélite, Ciudad Satélite, El Alto, Bolivia",Supermercado / Canal Mayorista,Ciudad Satélite,El Alto
122,FIDALGA – SUPERMERCADO,"FIDALGA – SUPERMERCADO, Oficina principal LP: Av. Sánchez Lima N° 2362, Plaza Avaroa, Sopocachi, Sopocachi, La Paz, Bolivia",Supermercado / Canal Mayorista,Sopocachi,La Paz
123,MERCADO RODRÍGUEZ – DISTRIBUIDORES,"MERCADO RODRÍGUEZ – DISTRIBUIDORES, Calle Rodríguez, Rodríguez / 14 de Septiembre, La Paz, Bolivia",Mercado Mayorista,Rodríguez / 14 de Septiembre,La Paz
124,ZONA COMERCIAL MAX PAREDES – DISTRIBUIDORES,"ZONA COMERCIAL MAX PAREDES – DISTRIBUIDORES, Calle Max Paredes / Uyustus, Max Paredes, La Paz, Bolivia",Zona Comercial Mayorista,Max Paredes,La Paz
125,ZONA GARITA DE LIMA – DISTRIBUIDORES,"ZONA GARITA DE LIMA – DISTRIBUIDORES, Av. Garita de Lima, Garita de Lima, La Paz, Bolivia",Zona Comercial Mayorista,Garita de Lima,La Paz
126,ZONA VILLA DOLORES – EL ALTO,"ZONA VILLA DOLORES – EL ALTO, Villa Dolores, Villa Dolores, El Alto, Bolivia",Zona Comercial Mayorista,Villa Dolores,El Alto
127,MERCADO SENKATA – EL ALTO,"MERCADO SENKATA – EL ALTO, Carretera a Oruro Km 18, Senkata, El Alto, Bolivia",Mercado y Zona Comercial,Senkata,El Alto
128,DISTRIBUIDORA DE ALIMENTOS ANDINA,"DISTRIBUIDORA DE ALIMENTOS ANDINA, La Paz, La Paz, Bolivia",Distribuidora de Alimentos,La Paz,La Paz
129,DISTRIBUIDORA GUTIÉRREZ HNOS.,"DISTRIBUIDORA GUTIÉRREZ HNOS., La Paz, Norte / Garita de Lima, La Paz, Bolivia",Distribuidora de Alimentos,Norte / Garita de Lima,La Paz
130,DISTRIBUIDORA CAMACHO – ESPECIAS Y GRANOS,"DISTRIBUIDORA CAMACHO – ESPECIAS Y GRANOS, Zona Rodríguez / Garita de Lima, Rodríguez, La Paz, Bolivia",Distribuidora Mayorista,Rodríguez,La Paz
131,SUPERMERCADO TARQUI – LA PAZ,"SUPERMERCADO TARQUI – LA PAZ, La Paz, Centro, La Paz, Bolivia",Supermercado Regional,Centro,La Paz
132,DISTRIBUIDORA MANZANA VERDE,"DISTRIBUIDORA MANZANA VERDE, La Paz, Sopocachi, La Paz, Bolivia",Distribuidora de Insumos Gastronómicos,Sopocachi,La Paz
133,ZONA COMERCIAL UYUSTUS – PUESTOS ESPECIERÍA,"ZONA COMERCIAL UYUSTUS – PUESTOS ESPECIERÍA, Calle Uyustus, Max Paredes, La Paz, Bolivia",Mercado Mayorista de Especias,Max Paredes,La Paz
